,Unnamed: 0,User Id,Comment Id,Comment Text,Publish Date,Comment Length,sentiment,sent
151,151,6052517182,18014549255072148,"If you really want to see this man's chracter, watch the entire interview. You'll see someone who is humble, resilient, smart, and reflective. He also praises Simone. Those comments were really light-hearted banter between ""the guys"" and were taken out of context. Unfortunately, the editors of that podcast took that snippet and used it for promo purposes. I hope that all this negative energy and hate toward her husband, for no good reason, doesn't bring back her mental health issues. Ya'll so busy trying to reduce him, not realizing you're hurting her.",2023-12-25,558.0,0.0181,Neutral
152,152,19078470,18021384145932780,THAT PART! Was looking for this comment!,2023-12-25,40.0,0.0,Neutral
153,153,47143929,17868722883042475,Anyone else wondering who is that guy with Simone? 😆 Simone hands-down the best Olympian North America has ever seen.,2023-12-25,117.0,0.7717,Positive
154,154,176233193,18093819283383625,Don’t ever diminish your light for him to shine 🤦🏾‍♀️,2023-12-25,53.0,0.0,Neutral
155,155,6328497243,17860689594043009,We still don’t know his name.,2023-12-25,29.0,0.0,Neutral
156,156,518706926,18400627519045241,"Who is he? I’ve been following you since before you were engaged, and still don’t know this mans name",2023-12-25,101.0,0.4019,Positive
157,157,44296964850,17846880480122854,You betta,2023-12-25,9.0,0.0,Neutral
158,158,470046202,18013654880079848,I wish he would've just said how much he loves her and he is happy with her. But Simone is the champ here and the catch!!! I ❤️ her! She is so sweet and so humbling. Dude kind of cocky! Just love your wife mane!,2023-12-25,211.0,0.9712,Positive
159,159,271787024,18026266387862003,@run_linds amen 👏,2023-12-25,17.0,0.0,Neutral
160,160,261523208,17991582539449403,Can’t make everyone happy! Mr & Mrs Owens are made for each other! Many Blessings!,2023-12-25,82.0,0.8433,Positive
161,161,46400587324,18042900475590289,Their kids would be so pretty,2023-12-25,29.0,0.6269,Positive
162,162,46400587324,18016491463988574,@1toughcookie2021 yesssss,2023-12-25,25.0,0.0,Neutral
163,163,32780774553,17985465881604898,❤️,2023-12-25,2.0,0.0,Neutral
164,164,2750658813,18032327071703772,@melmeltalks and she did,2023-12-25,24.0,0.0,Neutral
165,165,4946266881,17878360215005432,I don’t trust him at all,2023-12-25,24.0,0.5106,Positive
166,166,4946266881,18016016563990445,Who is he? We knew you not him,2023-12-25,30.0,0.0,Neutral
167,167,386440078,17953789124711895,"@cartwrightjr.kerry Definitely rocking with her regardless. 

Just praying it was immaturity and not narcissism…takes a long time to recover from that.

Hope it’s a happy, healthy marriage and just was a horrible interview. Hope he looks back at the interview and can acknowledge some valid points you made. If we have to make ourselves smaller for our partners to feel adequate, it’s a sign work has to be done for both parties. If we can’t praise our partners and take moments to dim their light even if unintentionally, it’s a problem. I’m no Simone, but it’s a hard lesson many people learn even myself. It often doesn’t end well if it’s not worked on by both parties.",2023-12-25,672.0,0.9217,Positive
168,168,178394275,18004091312255518,❤️❤️❤️❤️❤️,2023-12-25,10.0,0.0,Neutral
169,169,1413419551,18036625258638383,@c.chelle.xox and she chased him because he's the catch now look happily married 😂,2023-12-25,82.0,0.7579,Positive
170,170,49665543,17962529486689362,@queen_miaa99 don’t make that her problem.,2023-12-24,42.0,-0.4019,Negative
171,171,9006029427,17895175100942498,Hahaha most foootball fans don’t even know who he is jonathan owens whoooooooi,2023-12-24,78.0,0.5574,Positive
172,172,34371161481,18130488679316080,What happened ???,2023-12-24,17.0,0.0,Neutral
173,173,7900570,17887938455969029,LMAOOOOOO,2023-12-24,9.0,0.0,Neutral
174,174,271607131,18218320831265405,Mr. Simone Biles husband,2023-12-24,24.0,0.0,Neutral
175,175,388749417,18016545514973755,"I noticed that his first picture on his page is a picture of him, but you first picture on your page is a picture of you both.",2023-12-24,126.0,0.0,Neutral
176,176,13291828212,18092761135381273,"i don’t know if some of you looked at entire episode if not I suggest you do because I said same thing y’all are  saying he did uplift her he said how she helped  him mentally, how when they went out how all the little girls where in awe how when people ask for her picture of her he takes the pictures  it was a lot more then just that clip he even stood up for her when a parent complained about her not taking a picture it’s like we want to past judgment on how a relationship should be and that’s not right no one’s relationship is perfect and what you may accept someone else may not",2023-12-24,588.0,0.8068,Positive
177,177,49679383,18277049524088637,Luv it,2023-12-24,6.0,0.0,Neutral
178,178,3557027254,18013300415099711,Awwww this is so cute 😍😍😍,2023-12-25,25.0,0.9208,Positive
179,179,334403089,18013071338078442,💪💪💪💪,2023-12-25,4.0,0.0,Neutral
180,180,11893769589,17992512506276486,"clearly, getting a ring 💍 from a male won’t keep you from being disrespected publicly….Not a flex😶",2023-12-25,98.0,-0.0772,Negative
